intent,description,response,clean_question
 and Emergency, Chronic & Critical Illness Fund (specialized). For details, check sha.go.ke. Anything specific you'd like to know?,chronic critical illness fund specialized for details
 but it's ongoing). Takes minutes-call 147 for help. Need doc tips?,,,
,,,
 use birth cert or social protection papers from the state department. Easy upload via the site.,,,
,,,
 but it's comprehensive for residents. What's your main concern?,,,
,,,
,,,
 quality services per the Act. Ensures value for contributions.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
